"МО (КОД)","МО (НАИМЕН.)","СМО (код)","СМО (наим.)","Кол-во счетов","Сумма"
"07522","КП ФГБУЗ ЮОМЦ ФМБА России г.Краснодар","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","794","686 841,98"
"07522","КП ФГБУЗ ЮОМЦ ФМБА России г.Краснодар","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","714","691 181,34"
"07522","КП ФГБУЗ ЮОМЦ ФМБА России г.Краснодар","1707","Краснодарский филиал ООО ВТБ МС","82","65 185,86"
"07522","КП ФГБУЗ ЮОМЦ ФМБА России г.Краснодар","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","114","91 862,66"
"07524","ОАО ""Центр восстановительной медицины и реабилитации "" Краснодарская бальнеолечебница"" г.Краснодар","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","458","3 576 309,52"
"07524","ОАО ""Центр восстановительной медицины и реабилитации "" Краснодарская бальнеолечебница"" г.Краснодар","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","120","949 887,16"
"07524","ОАО ""Центр восстановительной медицины и реабилитации "" Краснодарская бальнеолечебница"" г.Краснодар","1707","Краснодарский филиал ООО ВТБ МС","32","247 585,74"
"07524","ОАО ""Центр восстановительной медицины и реабилитации "" Краснодарская бальнеолечебница"" г.Краснодар","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","26","217 009,68"
"07527","ФГАУ ""НМИЦ ""МНТК ""Микрохирургия глаза"" им.акад. С.Н.Федорова"" Минздрава России г.Краснодар","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","952","14 658 204,40"
"07527","ФГАУ ""НМИЦ ""МНТК ""Микрохирургия глаза"" им.акад. С.Н.Федорова"" Минздрава России г.Краснодар","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","158","5 223 175,08"
"07527","ФГАУ ""НМИЦ ""МНТК ""Микрохирургия глаза"" им.акад. С.Н.Федорова"" Минздрава России г.Краснодар","1707","Краснодарский филиал ООО ВТБ МС","40","919 639,36"
"07527","ФГАУ ""НМИЦ ""МНТК ""Микрохирургия глаза"" им.акад. С.Н.Федорова"" Минздрава России г.Краснодар","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","26","1 357 312,56"
"07530","ООО ""Фрезениус Медикал Кеа Кубань"" г.Краснодар","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","2 068","139 432 754,08"
"07530","ООО ""Фрезениус Медикал Кеа Кубань"" г.Краснодар","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","222","15 114 107,74"
"07530","ООО ""Фрезениус Медикал Кеа Кубань"" г.Краснодар","1707","Краснодарский филиал ООО ВТБ МС","160","11 050 202,96"
"07530","ООО ""Фрезениус Медикал Кеа Кубань"" г.Краснодар","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","162","11 211 717,30"
"07531","ООО Медицинский центр ""НЕФРОС"" г.Краснодар","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","4 684","156 825 742,44"
"07531","ООО Медицинский центр ""НЕФРОС"" г.Краснодар","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","318","10 921 761,12"
"07531","ООО Медицинский центр ""НЕФРОС"" г.Краснодар","1707","Краснодарский филиал ООО ВТБ МС","202","7 728 650,30"
"07531","ООО Медицинский центр ""НЕФРОС"" г.Краснодар","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","324","11 426 184,26"
"07541","ГБУЗ ""Центр охраны здоровья семьи и репродукции"" МЗ КК г.Краснодар","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","82","4 957 355,98"
"07541","ГБУЗ ""Центр охраны здоровья семьи и репродукции"" МЗ КК г.Краснодар","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","24","1 148 719,44"
"07541","ГБУЗ ""Центр охраны здоровья семьи и репродукции"" МЗ КК г.Краснодар","1707","Краснодарский филиал ООО ВТБ МС","14","1 033 463,84"
"07541","ГБУЗ ""Центр охраны здоровья семьи и репродукции"" МЗ КК г.Краснодар","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","18","890 800,60"
"07552","ГБУЗ ""Краевая клиническая больница №2"" МЗ КК г.Краснодар","1207","Краснодарский филиал ООО ""АльфаСтрахование-ОМС""","42 160","634 506 234,56"
"07552","ГБУЗ ""Краевая клиническая больница №2"" МЗ КК г.Краснодар","1607","Краснодарский филиал АО ""Страховая компания ""СОГАЗ-Мед""","12 530","133 296 623,80"
"07552","ГБУЗ ""Краевая клиническая больница №2"" МЗ КК г.Краснодар","1707","Краснодарский филиал ООО ВТБ МС","3 752","42 778 249,10"
"07552","ГБУЗ ""Краевая клиническая больница №2"" МЗ КК г.Краснодар","4407","Филиал ООО ""Капитал МС"" в Краснодарском крае","2 926","35 846 079,40"
